Departamento,Municipio,cod_mun,Altura,Clima
Norte de Santander,Mutiscua,54480," 2,600 ",Frío
Putumayo,Sibundoy,86749," 2,600 ",Frío
Boyacá,Samacá,15646," 2,604 ",Frío
Cundinamarca,Tocancipá,25817," 2,606 ",Frío
Cundinamarca,Zipaquirá,25899," 2,608 ",Frío
Boyacá,Saboyá,15632," 2,625 ",Frío
Cundinamarca,Cogua,25200," 2,631 ",Frío
Boyacá,Cucaita,15224," 2,634 ",Frío
Cundinamarca,Bogotá D.C.,11001," 2,640 ",Frío
Tolima,Roncesvalles,73622," 2,640 ",Frío
Boyacá,Ventaquemada,15861," 2,642 ",Frío
Boyacá,Sotaquirá,15763," 2,650 ",Frío
Nariño,Guaitarilla,52320," 2,650 ",Frío
Putumayo,Santiago,86760," 2,650 ",Frío
Cundinamarca,Chocontá,25183," 2,655 ",Frío
Cundinamarca,Susa,25779," 2,655 ",Frío
Cundinamarca,Subachoque,25769," 2,663 ",Frío
Boyacá,Socha,15757," 2,667 ",Frío
Cundinamarca,Guatavita,25326," 2,668 ",Frío
Boyacá,Covarachía,15218," 2,700 ",Frío
Boyacá,El Cocuy,15244," 2,700 ",Frío
Boyacá,Siachoque,15740," 2,700 ",Frío
Boyacá,Sora,15762," 2,700 ",Frío
Boyacá,Toca,15814," 2,700 ",Frío
Nariño,Yacuanquer,52885," 2,700 ",Frío
Norte de Santander,Silos,54743," 2,700 ",Frío
Cundinamarca,Guasca,25322," 2,710 ",Frío
Cundinamarca,Fosca,25281," 2,713 ",Frío
Cundinamarca,Villapinzón,25873," 2,715 ",Frío
Cundinamarca,La Calera,25377," 2,718 ",Frío
Boyacá,Arcabuco,15051," 2,739 ",Frío
Boyacá,Santa Rosa de Viterbo,15693," 2,748 ",Frío
Boyacá,Cuitiva,15226," 2,750 ",Frío
Boyacá,Gámeza,15296," 2,750 ",Frío
Cundinamarca,Fúquene,25288," 2,750 ",Frío
Cundinamarca,Guachetá,25317," 2,750 ",Frío
Nariño,Potosí,52560," 2,750 ",Frío
Boyacá,Soracá,15764," 2,799 ",Frío
Boyacá,Tutasá,15839," 2,800 ",Frío
Cauca,San Sebastián,19693," 2,800 ",Frío
Nariño,Puerres,52573," 2,800 ",Frío
Boyacá,Tunja,15001," 2,804 ",Frío
Caldas,Marulanda,17446," 2,820 ",Frío
Boyacá,Cómbita,15204," 2,825 ",Frío
Cauca,Puracé (Coconuco),19585," 2,850 ",Frío
Nariño,Ospina,52506," 2,850 ",Frío
Nariño,Córdoba,52215," 2,867 ",Frío
Boyacá,Tota,15822," 2,875 ",Frío
Boyacá,Guicán,15332," 2,880 ",Frío
Nariño,Ipiales,52356," 2,892 ",Frío
Boyacá,Chivatá,15187," 2,900 ",Frío
Boyacá,Monguí,15466," 2,900 ",Frío
Boyacá,Topagá,15820," 2,900 ",Frío
Nariño,Gualmatán,52323," 2,900 ",Frío
Nariño,Sapuyes,52720," 2,900 ",Frío
Boyacá,Motavita,15476," 2,908 ",Frío
Cundinamarca,Tausa,25793," 2,931 ",Frío
Boyacá,Chita,15183," 2,949 ",Frío
Nariño,Iles,52352," 2,950 ",Frío
Cundinamarca,Carmen de Carupa,25154," 2,980 ",Frío
Boyacá,Mongua,15464," 3,000 ",Frío
Nariño,Pupiales,52585," 3,014 ",Frío
Boyacá,Aquitania,15047," 3,042 ",Frío
Nariño,Aldana,52022," 3,050 ",Frío
Nariño,Cuaspud (Carlosama),52224," 3,050 ",Frío
Nariño,Guachucal,52317," 3,087 ",Frío
Boyacá,Jericó,15368," 3,100 ",Frío
Nariño,Cumbal,52227," 3,100 ",Frío
Nariño,Túquerres,52838," 3,104 ",Frío
Boyacá,Belén,15087," 3,144 ",Frío
Boyacá,Cerinza,15162," 3,269 ",Frío
Santander,Vetas,68867," 3,300 ",Frío
