Departamento,Municipio,cod_mun,Altura,Clima
Putumayo,Puerto Leguízamo,86573, 200 ,Cálido húmedo
Vaupés,Mitú,97001, 200 ,Cálido húmedo
Vaupés,Carurú,97161, 200 ,Cálido húmedo
Atlántico,Tubará,8832, 203 ,Cálido húmedo
Caquetá,Milán,18460, 210 ,Cálido húmedo
Meta,Puerto Rico,50590, 210 ,Cálido húmedo
Putumayo,Puerto Guzmán,86571, 218 ,Cálido húmedo
Norte de Santander,El Zulia,54261, 220 ,Cálido seco
Santander,Málaga,68432, 220 ,Templado
Guaviare,Calamar,95015, 220 ,Cálido húmedo
Caquetá,Curillo,18205, 225 ,Cálido húmedo
Cundinamarca,Beltrán,25086, 231 ,Templado
Santander,El Playón,68255, 232 ,Frío
Meta,La Macarena,50350, 233 ,Cálido húmedo
Meta,Cabuyaro,50124, 235 ,Cálido húmedo
Norte de Santander,San Cayetano,54673, 235 ,Cálido seco
Bolívar,San Jacinto,13654, 237 ,Cálido seco
Bolívar,San Jacinto del Cauca,13655, 237 ,Cálido húmedo
Antioquia,Mutatá,5480, 238 ,Cálido húmedo
La Guajira,El Molino,44110, 240 ,Cálido seco
Tolima,Ambalema,73030, 241 ,Cálido húmedo
Caquetá,La Montañita,18410, 243 ,Cálido húmedo
Antioquia,San Pedro de Urabá,5665, 247 ,Cálido húmedo
Caquetá,Puerto Rico,18592, 249 ,Cálido húmedo
La Guajira,San Juan del Cesar,44650, 250 ,Cálido seco
La Guajira,Villanueva,44874, 250 ,Cálido seco
Meta,Puerto Lleras,50577, 250 ,Cálido húmedo
Norte de Santander,Lourdes,54418, 250 ,Templado
Casanare,Hato Corozal,85125, 250 ,Cálido húmedo
Casanare,Pore,85263, 250 ,Cálido húmedo
Putumayo,Puerto Asís,86568, 250 ,Cálido húmedo
Cundinamarca,Guataquí,25324, 255 ,Cálido seco
Tolima,Honda,73349, 255 ,Cálido húmedo
Caquetá,Morelia,18479, 258 ,Cálido húmedo
Cundinamarca,Nariño,25483, 263 ,Templado
Meta,Barranca de Upía,50110, 264 ,Cálido húmedo
Sucre,Ovejas,70508, 265 ,Cálido seco
Cundinamarca,Girardot,25307, 275 ,Cálido seco
Casanare,Paz de Ariporo,85250, 275 ,Cálido húmedo
Caquetá,San Vicente del Caguán,18753, 280 ,Templado
La Guajira,Urumita,44855, 280 ,Cálido seco
Sucre,Chalán,70230, 280 ,Cálido seco
Cundinamarca,Ricaurte,25612, 284 ,Cálido seco
Tolima,Flandes,73275, 285 ,Cálido seco
Cauca,Suárez,19780, 290 ,Templado
