cod_mun, Longitud , Latitud 
25394, 5.41667 ,-74.41667 
25398, 5.25000 ,-74.41667 
25402, 5.00000 ,-74.35000 
25407, 5.33333 ,-73.66667 
25426, 5.08333 ,-73.61667 
25430, 4.83333 ,-74.30000 
25436, 5.08333 ,-73.58333 
25438, 4.50000 ,-73.33333 
25473, 4.75000 ,-74.33333 
25483, 4.45000 ,-74.80000 
25486, 5.13333 ,-73.90000 
25488, 4.33333 ,-74.58333 
25489, 5.20000 ,-74.41667 
25491, 5.11667 ,-74.41667 
25506, 4.13333 ,-74.50000 
25513, 5.25000 ,-74.16667 
25518, 5.41667 ,-74.16667 
25524, 4.25000 ,-74.50000 
25530, 4.37306 ,-73.22139 
25535, 4.33333 ,-74.28333 
25572, 5.50000 ,-74.58333 
25580, 4.75000 ,-74.66667 
25592, 5.15000 ,-74.50000 
25594, 4.33333 ,-73.83333 
25596, 4.75000 ,-74.58333 
25599, 4.58333 ,-74.58333 
25612, 4.27972 ,-74.77611 
25645, 4.13333 ,-74.50000 
25649, 4.20000 ,-74.33333 
25653, 5.33333 ,-74.08333 
25658, 5.00000 ,-74.28333 
25662, 4.91667 ,-74.66667 
25718, 5.00000 ,-74.45000 
25736, 5.08333 ,-73.83333 
25740, 4.49139 ,-74.26056 
25743, 4.50000 ,-74.33333 
25745, 5.58333 ,-73.83333 
25754, 4.58722 ,-74.22139 
25758, 4.91667 ,-73.95000 
25769, 5.00000 ,-74.16667 
25772, 5.16667 ,-73.83333 
25777, 5.08333 ,-74.25000 
25779, 5.50000 ,-73.83333 
25781, 5.25100 ,-73.85600 
25785, 5.00000 ,-74.08333 
25793, 5.25000 ,-73.91667 
25797, 4.70000 ,-74.41667 
25799, 4.91667 ,-74.16667 
25805, 4.38333 ,-74.50000 
25807, 5.13333 ,-73.53333 
25815, 4.50000 ,-74.66667 
25817, 5.00000 ,-73.91667 
25823, 5.41667 ,-74.33333 
25839, 4.83333 ,-73.50000 
25841, 4.58333 ,-74.00000 
25843, 5.35000 ,-73.83333 
25845, 4.33333 ,-74.08333 
25851, 5.25000 ,-74.50000 
25862, 5.16667 ,-74.33333 
25867, 4.91667 ,-74.55000 
25871, 5.27611 ,-74.19889 
25873, 5.28333 ,-73.58333 
25875, 5.08333 ,-74.50000 
25878, 4.50000 ,-74.50000 
25885, 5.66667 ,-74.41667 
25898, 4.83333 ,-74.41667 
25899, 5.02833 ,-74.00583 
27001, 5.69472 ,-76.66111 
27006, 8.33333 ,-77.16667 
27025, 5.66667 ,-77.00000 
27050, 5.53333 ,-76.63333 
27073, 5.50000 ,-76.25000 
27075, 6.21917 ,-77.40778 
27077, 5.00000 ,-77.08333 
27099, 6.52361 ,-76.97444 
27135, 5.33889 ,-76.73139 
27150, 7.15800 ,-76.97100 
27160, 5.40000 ,-76.60000 
27205, 5.16667 ,-76.50000 
27361, 5.15889 ,-76.69167 
27372, 7.00000 ,-77.66667 
27413, 5.58333 ,-76.41667 
27450, 5.10000 ,-76.68300 
27491, 4.91667 ,-76.58333 
27495, 6.00000 ,-77.33333 
27580, 5.10000 ,-76.66667 
27600, 5.70000 ,-76.66667 
27615, 7.41667 ,-77.16667 
27660, 4.91667 ,-76.25000 
27745, 4.58333 ,-76.50000 
27787, 5.33333 ,-76.41667 
27800, 8.04306 ,-77.09611 
27810, 5.28300 ,-76.61700 
41001, 2.93056 ,-75.33028 
41006, 1.75000 ,-75.91667 
41013, 2.33333 ,-75.75000 
41016, 3.25000 ,-75.33333 
41020, 2.58333 ,-75.25000 
41026, 2.16667 ,-75.83333 
41078, 3.16667 ,-75.00000 
41132, 2.66667 ,-75.33333 
41206, 2.50000 ,-75.75000 
41244, 2.08333 ,-76.00000 
41298, 2.25000 ,-75.58333 
41306, 2.50000 ,-75.50000 
41319, 2.08333 ,-75.66667 
41349, 2.58333 ,-75.50000 
41357, 2.75000 ,-75.75000 
41359, 2.08333 ,-76.25000 
41378, 2.25000 ,-76.16667 
41396, 2.41667 ,-76.16667 
41483, 2.65000 ,-75.80000 
41503, 2.08333 ,-76.01667 
41518, 2.45000 ,-75.75000 
41524, 3.00000 ,-75.50000 
41530, 1.75000 ,-76.06667 
41548, 2.33333 ,-75.83333 
41551, 1.75000 ,-76.16667 
41615, 2.83333 ,-75.16667 
41660, 2.01444 ,-76.05028 
41668, 1.91667 ,-76.33333 
41676, 3.00000 ,-75.70000 
41770, 1.91667 ,-75.83333 
41791, 2.16667 ,-75.91667 
41797, 2.66667 ,-75.75000 
41799, 3.08333 ,-75.08333 
41801, 2.91667 ,-75.66667 
41807, 2.00000 ,-75.91667 
41872, 3.33333 ,-75.16667 
41885, 2.66667 ,-75.58333 
44001, 11.54444 ,-72.90722 
44035, 11.15972 ,-72.58556 
44078, 11.00000 ,-72.75000 
44090, 11.27222 ,-73.30556 
44098, 10.89778 ,-72.88694 
44110, 10.65333 ,-72.92417 
44279, 10.83333 ,-72.83333 
44378, 11.06944 ,-72.76694 
44420, 10.51667 ,-73.08333 
44430, 11.38417 ,-72.24417 
44560, 11.77917 ,-72.44944 
44650, 10.83333 ,-73.08333 
44847, 11.91667 ,-72.00000 
44855, 10.56667 ,-73.01667 
44874, 10.58333 ,-73.00000 
47001, 11.24722 ,-74.20167 
47030, 10.18694 ,-74.57528 
47053, 10.58333 ,-74.00000 
47058, 10.25000 ,-74.00000 
47161, 10.25000 ,-74.83333 
47170, 10.02806 ,-74.64361 
47189, 10.83333 ,-74.08333 
47205, 9.84028 ,-74.44472 
47245, 9.04556 ,-73.97472 
47258, 10.33333 ,-74.66667 
47268, 10.61667 ,-74.26667 
47288, 10.41667 ,-73.91667 
47318, 9.25000 ,-74.16667 
47460, 9.80306 ,-74.39028 
47541, 10.16667 ,-74.75000 
47545, 9.33028 ,-74.44972 
47551, 10.41667 ,-74.33333 
47555, 9.83333 ,-74.33333 
47570, 10.98333 ,-74.33333 
47605, 10.66667 ,-74.58333 
47660, 10.03300 ,-74.21700 
47675, 10.50000 ,-74.70000 
47692, 9.33333 ,-74.33333 
47703, 9.33333 ,-74.30000 
47707, 9.31667 ,-74.58333 
47720, 10.60000 ,-74.16700 
47745, 10.91667 ,-74.58333 
47798, 10.00000 ,-74.66667 
47960, 10.17100 ,-74.71900 
50001, 4.15333 ,-73.63500 
50006, 3.91667 ,-73.83333 
50110, 4.57556 ,-72.96111 
50124, 4.29028 ,-72.79056 
50150, 3.80000 ,-73.58333 
50223, 3.77139 ,-73.83778 
50226, 4.25000 ,-73.33333 
50245, 4.41667 ,-73.66667 
50251, 3.56806 ,-73.78389 
50270, 2.77917 ,-72.87194 
50287, 3.45944 ,-73.61278 
50313, 3.53861 ,-73.70056 
50318, 3.91667 ,-74.00000 
50325, 2.89111 ,-72.13222 
50330, 3.37806 ,-74.04472 
50350, 2.85361 ,-73.94361 
50370, 3.25400 ,-74.35800 
50400, 3.51361 ,-74.05167 
50450, 2.67944 ,-72.76083 
50568, 4.31417 ,-72.08250 
50573, 4.08333 ,-72.96667 
50577, 3.00000 ,-72.50000 
50590, 2.93833 ,-73.20833 
50606, 4.16667 ,-73.41667 
50680, 3.71222 ,-73.24361 
50683, 3.34639 ,-73.88944 
50686, 4.45861 ,-73.67306 
50689, 3.70000 ,-73.70000 
50711, 3.08639 ,-73.75139 
52001, 1.21467 ,-77.27865 
52019, 1.47444 ,-77.08361 
52022, 0.91667 ,-77.68333 
52036, 1.25000 ,-77.50000 
52051, 1.50333 ,-77.08778 
52079, 1.58333 ,-78.00000 
52083, 1.59750 ,-77.01750 
52110, 1.25000 ,-77.08333 
52203, 1.58333 ,-77.00000 
52207, 1.20841 ,-77.46323 
52210, 0.91667 ,-77.53333 
52215, 0.78333 ,-77.33333 
52224, 0.86583 ,-77.72944 
52227, 0.91667 ,-77.91667 
52233, 1.65333 ,-77.58333 
52240, 1.35943 ,-77.28367 
52250, 2.33333 ,-78.35000 
52254, 1.43333 ,-77.43333 
52256, 1.83333 ,-77.33333 
52260, 1.40000 ,-77.33333 
52287, 0.95000 ,-77.33333 
52317, 1.00000 ,-77.75000 
52320, 1.15000 ,-77.50000 
52323, 0.83333 ,-77.58333 
52352, 0.95000 ,-77.53333 
52354, 1.05000 ,-77.50000 
52356, 0.83028 ,-77.64444 
52378, 1.55000 ,-76.88333 
52381, 1.25000 ,-77.41667 
52385, 1.47778 ,-77.58389 
52390, 2.41083 ,-78.24278 
52399, 1.58333 ,-77.08333 
52405, 1.93750 ,-77.30806 
52411, 1.38333 ,-77.45000 
52418, 1.51556 ,-77.49500 
52427, 1.91667 ,-77.83333 
52435, 1.08333 ,-77.81667 
52473, 2.35000 ,-78.35000 
52480, 1.50000 ,-78.00000 
52490, 1.26667 ,-77.48333 
52506, 1.03333 ,-77.55000 
52520, 2.10194 ,-78.72167 
52540, 1.63167 ,-77.46167 
52560, 0.75000 ,-77.41667 
52565, 1.57028 ,-77.46944 
52573, 0.91667 ,-77.25000 
52585, 0.91667 ,-77.66667 
52612, 1.16667 ,-78.16667 
52621, 1.91667 ,-78.33333 
52678, 1.41667 ,-77.66667 
52683, 1.25000 ,-77.45000 
52685, 1.51639 ,-77.04667 
52687, 1.50000 ,-77.16667 
52693, 1.66667 ,-76.91667 
52694, 1.56139 ,-77.11806 
52696, 2.33333 ,-77.91667 
52720, 1.03333 ,-77.60000 
52786, 1.58333 ,-77.25000 
52788, 1.08333 ,-77.30000 
52835, 1.79861 ,-78.81556 
52838, 1.16667 ,-77.58333 
52885, 1.08333 ,-77.41667 
54001, 7.88333 ,-72.50528 
54003, 8.00000 ,-73.20000 
54051, 7.66667 ,-72.75000 
